name,price,category,brand,url,sku,variant,color,description,spec_Frame,spec_Framefit,spec_Gewicht,spec_Gewichtslimiet,spec_Shifter,spec_Voorderailleur,spec_Achterderailleur,spec_Crankstel,spec_Bottom_bracket,spec_Cassette,spec_Ketting,spec_Pedaal,spec_Maximale_maat_kettingblad,spec_Naaf_voor,spec_As_voorwiel,spec_Naaf_achter,spec_Velg,spec_Buitenband,spec_Maximale_bandenmaat,spec_Zadel,spec_Zadelpen,spec_Stuur,spec_Stuurlint,spec_Stuurpen,spec_Balhoofdstel,spec_Rem,spec_Shifter_speed,spec_Voorvork,spec_As_achterwiel,spec_Spaken,spec_Remschijf,spec_Schijfdiameter,spec_Buitenband_-_onderdelen,spec_Velglint,spec_Frame_plus_vork,spec_Remgreep,spec_Handvatten,spec_Wiel_voor,spec_Wiel_achter,spec_Tas,spec_Accu,spec_Oplader,spec_Motor,spec_Maximaal_geschikte_veerweg,spec_Stuur_stuurpen_(geïntegreerd),spec_Binnenband,spec_Computer,spec_Stuur_-_onderdelen,spec_Bidonhouder,spec_Bidon,spec_Kettingblad
Checkmate SLR 9 AXS,9999.0,Gravel bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46152/,46152,greendark_greenlight,Green dark/Green light,,800 Series Oclv Carbon,Endurance*,"ML - 7,55 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,SRAM RED AXS E1,"1x, geen voorderailleur","SRAM RED XPLR eTap AXS, max. tandwielgrootte 46T","Maat: XS, S SRAM RED XPLR, vermogensmeter, 42T, DUB wide, 165 mm lengte","Maat: XS, S, M, ML, L, XL SRAM DUB Wide, T47 met schroefdraad, interne lagers","SRAM XG-1391, 10-46T, 13-speed","SRAM RED E1, 12/13-speed",,Bekijk de servicehandleiding,,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,"Maat: XS, S, M, ML, L, XL Bontrager Girona RSL GR, Tubeless Ready, aramide hieldraad, 220 tpi, 700x38 mm","45 mm zonder spatborden, 38 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Aeolus RSL, carbon rails, 155mm breedte","Maat: XS, S, M, ML, L, XL KVF aero carbon zadelpen, 5 mm offset, 280 mm lengte",,"Maat: XS, S, M, ML, L, XL Trek EcoTack",,,,12-speed,"Checkmate SLR full carbon, taps toelopende carbon stuurbuis, weggewerkte spatbordbevestigingen, flat-mount schijfrem, 12 x 100 mm steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"SRAM Paceline X, afgerond, centerlock, 160 mm",Maximale diameter remschijven: 180 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus RSL 37V, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 37V, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,,"Maat: XS Trek Aero RSL geïntegreerde stuur/stuurpen, OCLV Carbon, race-geometrie, 80 mm reach, 124 mm drop, 37 cm breedte bij hendels, drop-breedte 40 cm, stuurpenlengte 70 mm",,,,,,
Domane SLR 9 Gen 4,10499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57942/,57942,green,Green,,800 Series Oclv Carbon,Endurance*,,125 kg,Shimano Dura-Ace Di2 R9170,"Shimano Dura-Ace R9250 Di2, aanlasnok, down swing","Shimano Dura-Ace R9250 Di2, max. tandwielgrootte 34T","Maat: 47, 50 Shimano Dura-Ace R9200, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Dura-Ace R9200, 11-34, 12-speed","Shimano Dura-Ace/XTR M9100, 12-speed",,"1x: 48T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager Kwaremont Pro GR, Tubeless Ready, vouwband, Dual Compound, 320 tpi, 700x32 mm","38 mm zonder spatborden, 35 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Pro, carbon rails, 145 mm breedte","Maat: 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 47 Bontrager Aero Pro, OCLV Carbon, 31,8 mm, interne Di2-kabelgeleiding, stuurdiepte 80 mm, stuurval 124 mm, breedte 38 cm",Trek EcoTack,"Maat: 47 Trek RCS Pro, -7 graden, 70 mm lengte",,,12-speed,"Domane SLR carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, Flat-Mount schijfrem, carbon dropouts, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Shimano CL900, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",,,,,"Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Domane+ SLR 8 AXS,10599.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/49166/,49166,white,White,,800 Series Oclv Carbon,Endurance*,,125 kg,SRAM RED eTap AXS,"1x, geen voorderailleur","SRAM RED XPLR eTap AXS, max. tandwielgrootte 44T","Maat: 50, 52 Praxis Carbon, 170 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers*","SRAM XG-1271, 10-44, 12-speed","SRAM RED D1, 12-speed",,"1x: 46T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm","40mm zonder spatborden, 35mm met spatborden","Maat: 50, 52 Verse Short Pro, carbon rails, 155 mm breedte","Maat: 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 50, 52 Bontrager Pro IsoCore VR-SF, 40 cm",Bontrager Supertack geperforeerd stuurlint,"Maat: 50 Trek RCS Pro, -7 graden, 80 mm lengte",,,12-speed,"Domane+ carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, bevestigingspunten voor spatborden, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"SRAM CenterLine X, centerlock, afgeronde rand, 160 mm","Maximale maten remschijf: 180mm voor, 160mm achter","Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, 142 x 12 mm steekas",,TQ 360 Wh,TQ 4A lader,"TQ-HPR50, 50 Nm koppel, 250 watt maximaal continu vermogen, 300 watt piekvermogen",,,,TQ led-display met Bluetooth &amp; ANT+ verbindingsmogelijkheden,,,,"SRAM X-SYNC, 42T, lichtmetaal"
Domane+ SLR 7 AXS,10599.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/41481/,41481,white_gold,White/Gold,,800 Series Oclv Carbon,Endurance*,"56 cm - 12.64 kg (met TLR sealant, zonder binnenbanden)",125 kg,SRAM Force AXS D2,"1x, geen voorderailleur","SRAM Force XPLR AXS D2, max. tandwielgrootte 44T","Maat: 50, 52 Praxis Carbon, 170 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers*","SRAM XG-1271, 10-44, 12-speed","SRAM Force, 12-speed",,"1x: 46T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager GR1 Team Issue, Tubeless Ready, Inner Strength karkas, aramide hieldraad, 120 tpi, 700 x 40 mm","40mm zonder spatborden, 35mm met spatborden","Maat: 50, 52 Verse Short Elite, holle roestvaststalen rails, 155 mm breedte","Maat: 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 50, 52 Bontrager Pro IsoCore VR-SF, 40 cm",Bontrager Supertack geperforeerd stuurlint,"Maat: 50 Trek RCS Pro, -7 graden, 80 mm lengte",,,12-speed,"Domane+ carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, bevestigingspunten voor spatborden, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"SRAM CenterLine X, centerlock, afgeronde rand, 160 mm","Maximale maten remschijf: 180mm voor, 160mm achter","Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, 100 x 12 mm steekas","Bontrager Aeolus Pro 3V, OCLV Carbon, Tubeless Ready, 25 mm velgbreedte, 142 x 12 mm steekas",,TQ 360 Wh,TQ 4A lader,"TQ-HPR50, 50 Nm koppel, 250 watt maximaal continu vermogen, 300 watt piekvermogen",,,,TQ led-display met Bluetooth &amp; ANT+ verbindingsmogelijkheden,,,,"SRAM X-SYNC, 42T, lichtmetaal"
Domane SLR 9 AXS Gen 4,10999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/57944/,57944,green,Green,,800 Series Oclv Carbon,Endurance*,,125 kg,SRAM RED AXS E1,"SRAM RED AXS E1, aanlasnok","SRAM RED AXS E1, max. tandwielgrootte 36T","Maat: 47, 50 SRAM RED AXS E1 vermogensmeter, 46/33, DUB, 165 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers","SRAM RED XG-1290 E1, 10-36, 12-speed","SRAM RED E1, 12/13-speed",,"1x: 48T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager Kwaremont Pro GR, Tubeless Ready, vouwband, Dual Compound, 320 tpi, 700x32 mm","38 mm zonder spatborden, 35 mm met spatborden (feitelijk gemeten, bekijk de handleiding voor details)","Verse Short Pro, carbon rails, 145 mm breedte","Maat: 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 47 Bontrager Aero Pro, OCLV Carbon, 31,8 mm, interne Di2-kabelgeleiding, stuurdiepte 80 mm, stuurval 124 mm, breedte 38 cm",Trek EcoTack,"Maat: 47 Trek RCS Pro, -7 graden, 70 mm lengte",,,12-speed,"Domane SLR carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, Flat-Mount schijfrem, carbon dropouts, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"SRAM Paceline X, afgerond, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",,,,,"Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",Bontrager BITS Internal Frame opbergtas,SRAM eTap accu (met lader),,,,,,,,,,
Speed Concept SLR 9,11499.0,Triathlon bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/35757/,35757,reddark_black,Red dark/Black,,800 Series OCLV-carbon,Triatlon,"M - 8,70 kg",125 kg,"Shimano Dura-Ace hydraulische schijfrem, R9180 Di2 hendel, R9270 remklauw, 160 mm remschijf","Shimano Dura-Ace R9250 Di2, aanlasnok, down swing","Shimano Dura-Ace R9250 Di2, max. tandwielgrootte 34T","Maat: S, M, L Shimano Dura-Ace R9200, 52/36, 170 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Dura-Ace R9200, 11-30, 12-speed","Shimano Dura-Ace/XTR M9100, 12-speed",,"1x: 58T, 2x: 55/44",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R4 320, 700 x 25 mm","28 mm achter, 25 mm voor",Bontrager Hilo Pro Carbon,"Maat: S Speed Concept SLR, 11,5 mm of -20 mm offset, korte versie",,"Maat: S, M, L, XL Bontrager Supertack geperforeerd stuurlint",,,"Shimano Dura-Ace hydraulische schijfrem, flat-mount",11-speed,"SC full foil carbon, geïntegreerde rem &amp; stuurpen","Bontrager Switch steekas, afneembare hendel",,"Shimano CL900, centerlock, 160 mm",Maximale maten remschijf: 160 mm voor &amp; achter,,,,,,"Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,Speed Concept mid-rise bar/stem,,,"Maat: S, M Speed Concept 30 mm basissteun","Maat: S, M, L, XL Speed Concept bidonhouder op de onderbuis",Speed Concept bidon op de onderbuis,
Madone SLR 9 gen 8,11499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46707/,46707,white_blue,White/Blue,,900 Series Oclv Carbon,H1.5 Race*,"ML- 7,05 kg (met TLR-dichtmiddel, zonder binnenbanden, zonder bidons/bidonhouders)",125 kg,Shimano Dura-Ace Di2 R9170,"Shimano Dura-Ace R9250 Di2, aanlasnok, down swing","Shimano Dura-Ace R9250 Di2, max. tandwielgrootte 34T","Maat: XS, S Shimano Dura-Ace R9200, 52/36, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Dura-Ace R9200, 11-30, 12-speed","Shimano Dura-Ace/XTR M9100, 12-speed",,"1x: 54T, 2x: 56/43",,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,"Maat: XS, S, M, ML, L, XL Bontrager Aeolus RSL RD, Tubeless Ready, gemaakt van katoen, aramide hieldraad, 170 tpi, 700x28 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Aeolus RSL, carbon rails, 155mm breedte","Madone aero carbon zadelpen, 0 mm offset, korte versie",,Trek EcoTack,,,,12-speed,"Madone Gen 8 uit één stuk carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, flat-mount schijfrembevestiging, 12 x 100 mm afgeschuinde steekas","Bontrager Switch afgeschuinde steekas, afneembare hendel",,"Shimano CL900, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter","Bontrager TLR-dichtmiddel, 175 ml",,"900 Series OCLV Carbon, Full System Foil buisvormen, IsoFlow zitbuis, RCS balhoofdsysteem, kabelgeleiding alleen voor elektronisch schakelen, afneembare aero chainkeeper, T47 BB, flat-mount schijfrembevestiging, UDH, 142x12 mm steekas",,,"Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, Shimano 11/12-speed freewheelnaaf, 142 x 12 mm steekas",,Shimano BT-DN300,Inclusief laadkabel,,,"Maat: XS Trek Aero RSL geïntegreerde stuur/stuurpen, OCLV Carbon, race-geometrie, 80 mm reach, 124 mm drop, 35 cm breedte bij hendels, drop-breedte 38 cm, stuurpenlengte 80 mm","Pirelli P Zero SmarTube, TPU",,,,,
Domane SLR 9 gen 4,11499.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/37357/,37357,orange_black,Orange/Black,,800 Series Oclv Carbon,Endurance,"56 cm - 7,25 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,Shimano Dura-Ace Di2 R9170,"Shimano Dura-Ace R9250 Di2, aanlasnok, down swing","Shimano Dura-Ace R9250 Di2, max. tandwielgrootte 34T","Maat: 47, 50 Shimano Dura-Ace R9200, 50/34, 165 mm lengte","Praxis, T47 met schroefdraad, interne lagers","Shimano Dura-Ace R9200, 11-34, 12-speed","Shimano Dura-Ace/XTR M9100, 12-speed",,"1x: 48T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm","38c zonder spatborden, 35c met spatborden","Maat: 47, 50, 52 Verse Short Pro, carbon rails, 155 mm breedte","Maat: 47, 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 47 Bontrager Pro IsoCore VR-SF, 38 cm",Bontrager Supertack geperforeerd stuurlint,"Maat: 47 Trek RCS Pro, -7 graden, 70 mm lengte",,"Shimano Dura-Ace hydraulische schijfrem, flat-mount",12-speed,"Domane SLR carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, spatbordbevestigingen, Flat-Mount schijfrem, carbon dropouts, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Maat: 47, 50, 52, 54, 56, 58, 60, 62 Shimano CL900, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,"Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,"800 Series OCLV Carbon, IsoSpeed, interne opbergruimte, taps toelopende balhoofdbuis, interne kabelgeleiding, 3S chain keeper, spatbordbevestigingen, flat-mount schijfrembevestiging, 142 x 12 mm steekas",,,"Bontrager Aeolus RSL 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 142 x 12 mm steekas",Bontrager BITS Internal Frame opbergtas,Shimano BT-DN300,Inclusief laadkabel,,,,,,,,,
Speed Concept SLR 9 AXS,11999.0,Triathlon bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/48020/,48020,reddark_black,Red dark/Black,,800 Series OCLV-carbon,Triatlon*,"M - 8,80 kg",125 kg,SRAM AXS draadloze Blips voor montage op stuur/ligstuur,"SRAM RED AXS E1, aanlasnok","SRAM RED AXS E1, max. tandwielgrootte 36T","Maat: S SRAM RED AXS E1, vermogensmeter, 48/35, DUB, 165 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers","SRAM RED XG-1290 E1, 10-33, 12-speed","SRAM RED E1, 12/13-speed",,"1x: 58T, 2x: 55/44",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R4 320, 700 x 25 mm","28 mm achter, 25 mm voor",Bontrager Hilo Pro Carbon,"Maat: S Speed Concept SLR, 11,5 mm of -20 mm offset, korte versie",,Trek EcoTack,,,,12-speed,"SC full foil carbon, geïntegreerde rem &amp; stuurpen","Bontrager Switch steekas, afneembare hendel",,"SRAM Paceline X, afgerond, centerlock, 160 mm",Maximale maat remschijven: 160 mm voor en achter,,,,SRAM S-900 Aero,,"Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, SRAM XD-R freewheelbody, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,,Speed Concept mid-rise bar/stem,,,"Maat: S, M Speed Concept 30 mm basissteun","Maat: S, M, L, XL Speed Concept bidonhouder op de onderbuis",Speed Concept bidon op de onderbuis,
Madone SLR 9 AXS Gen 8,11999.0,Performance road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/46151/,46151,white_blue,White/Blue,,900 Series Oclv Carbon,H1.5 Race*,"ML- 7,00 kg (met TLR-dichtmiddel, zonder binnenbanden, zonder bidons/bidonhouders)",125 kg,SRAM RED AXS E1,"SRAM RED AXS E1, aanlasnok","SRAM RED AXS E1, max. tandwielgrootte 36T","Maat: XS, S SRAM RED AXS E1, vermogensmeter, 48/35, DUB, 165 mm lengte","SRAM DUB, T47 met schroefdraad, interne lagers","SRAM RED XG-1290 E1, 10-33, 12-speed","SRAM RED E1, 12 speed",,"1x: 54T, 2x: 56/43",,"Bontrager Switch afgeschuinde steekas, afneembare hendel",,,"Maat: XS, S, M, ML, L, XL Bontrager Aeolus RSL RD, Tubeless Ready, gemaakt van katoen, aramide hieldraad, 170 tpi, 700x28 mm","32 mm (feitelijk gemeten, bekijk de handleiding voor details)","Maat: XS, S Aeolus RSL, carbon rails, 155mm breedte","Maat: XS, S, M, ML, L, XL Madone aero carbon zadelpen, 0 mm offset, korte versie",,Trek EcoTack,,,,12-speed,"Madone Gen 8 uit één stuk carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, flat-mount schijfrembevestiging, 12 x 100 mm afgeschuinde steekas","Maat: XS, S, M, ML, L, XL Bontrager Switch afgeschuinde steekas, afneembare hendel",,"SRAM Paceline X, afgerond, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter","Bontrager TLR-dichtmiddel, 175 ml",,"900 Series OCLV Carbon, Full System Foil buisvormen, IsoFlow zitbuis, RCS balhoofdsysteem, kabelgeleiding alleen voor elektronisch schakelen, afneembare aero chainkeeper, T47 BB, flat-mount schijfrembevestiging, UDH, 142x12 mm steekas",,,"Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, 100 x 12 mm steekas","Maat: XS, S, M, ML, L, XL Bontrager Aeolus RSL 51, OCLV Carbon, Tubeless Ready, 51 mm velghoogte, SRAM XD-R freewheelbody, 142 x 12 mm steekas",,SRAM eTap accu (met lader),,,,"Maat: XS Trek Aero RSL geïntegreerde stuur/stuurpen, OCLV Carbon, race-geometrie, 80 mm reach, 124 mm drop, 35 cm breedte bij hendels, drop-breedte 38 cm, stuurpenlengte 80 mm","Pirelli P Zero SmarTube, TPU",,,,,
Domane+ SLR 9,12499.0,Electric road bikes,Trek,https://www.trekbikes.com/nl/nl_NL/p/36741/,36741,white_gold,White/Gold,,800 Series Oclv Carbon,Endurance,"56 cm - 11,75 kg (met TLR dichtmiddel, zonder binnenbanden)",125 kg,Shimano Dura-Ace Di2 R9170,"Shimano Dura-Ace R9250 Di2, aanlasnok, down swing","Shimano Dura-Ace R9250 Di2, max. tandwielgrootte 34T","Maat: 50, 52 Praxis Carbon, 170 mm lengte","Praxis, T47 met schroefdraad, interne lagers*","Shimano Dura-Ace R9200, 11-34, 12-speed","Shimano Dura-Ace/XTR M9100, 12-speed",,"1x: 46T, 2x: 52/36",,"Bontrager Switch steekas, afneembare hendel",,,"Bontrager R3 Hard-Case Lite, Tubeless Ready, aramide hieldraad, 120 tpi, 700 x 32 mm","40c zonder spatborden, 35c met spatborden","Maat: 50, 52 Verse Short Pro, carbon rails, 155 mm breedte","Maat: 50, 52, 54, 56 KVF aero carbon zadelpen, 20 mm offset, 280 mm lengte","Maat: 50, 52 Bontrager Pro IsoCore VR-SF, 40 cm",Bontrager Supertack geperforeerd stuurlint,"Maat: 50 Trek RCS Pro, -7 graden, 80 mm lengte",,"Shimano Dura-Ace BR-9270 hydraulic disc, flat mount caliper, resin pad w/fin.",12-speed,"Domane+ carbon, taps toelopende carbon stuurbuis, interne remkabelgeleiding, bevestigingspunten voor spatborden, flat-mount schijfrembevestiging, 12 x 100 mm steekas","Bontrager Switch steekas, afneembare hendel",,"Maat: 50, 52, 54, 56, 58, 60, 62 Shimano CL900, centerlock, 160 mm","Maximale maat remschijven: 180 mm voor, 160 mm achter","Bontrager TLR-dichtmiddel, 175 ml",Bontrager TLR,,,,"Bontrager Aeolus RSL 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 100 x 12 mm steekas","Bontrager Aeolus RSL 37, OCLV Carbon, Tubeless Ready, 37 mm velghoogte, 142 x 12 mm steekas",,"Maat: 50, 52, 54, 56, 58, 60, 62 TQ 360 Wh","Maat: 50, 52, 54, 56, 58, 60, 62 TQ 4A lader","TQ-HPR50, 50 Nm koppel, 250 watt maximaal continu vermogen, 300 watt piekvermogen",,,,TQ led-display met Bluetooth &amp; ANT+ verbindingsmogelijkheden,,,,"Praxis, 50/34T, 12-speed"
